ID	IntroductiontoClinicalMedicine	MusculoskeletalSystem	MedicalNeuroscience	NeuropsychiatryandBehavioralScience	SensorySystem
19001.0	79.17	69.14	64.19	72.11	74.295
19002.0	82.29	78.88000000000001	79.62666666666667	73.27	74.845
19003.0	92.71	86.39999999999999	87.28333333333335	85.86	93.15
19004.0	70.83	64.15333333333334	64.31666666666666	75.685	74.37
19005.0	82.29	79.28666666666668	81.76333333333334	84.64500000000001	88.78999999999999
19006.0	92.71	87.26999999999998	84.43333333333334	90.535	92.69999999999999
19007.0	86.46	62.97666666666667	51.23	62.59	60.665
19008.0	73.96	75.29333333333334	68.21666666666667	67.98	71.655
19009.0	88.54	85.22000000000001	81.75	84.14	88.595
19010.0	86.46	87.76666666666667	80.99000000000001	84.91	92.315
19011.0	78.13	81.97000000000001			
19012.0	92.71	81.04666666666667	83.30333333333334	81.57499999999999	89.9
19013.0	78.13	78.53666666666668	80.17666666666666	70.535	77.89500000000001
19014.0	89.58	84.10666666666667	76.61	82.355	87.075
19015.0	92.71	83.83333333333333	89.53000000000002	87.08500000000001	88.945
19016.0	87.5	87.44333333333333	86.90666666666668	84.02000000000001	88.295
19017.0	86.46	73.62333333333333	80.79	76.015	83.975
19018.0	81.25	71.65666666666668	67.56333333333333	71.22	75.845
19019.0	79.17	70.77333333333333	57.99	65.83500000000001	76.375
19020.0	87.5	86.0	79.89333333333333	75.625	84.545
19021.0	86.46	82.59666666666668	75.14333333333333	77.89	87.275
19022.0	92.71	84.38333333333334	86.55333333333333	83.305	88.685
19023.0	84.38	79.77666666666666	81.86666666666666	81.395	84.3
19024.0	93.75	85.79	84.46	87.47	93.345
19025.0	94.79	90.01666666666667	87.53666666666668	88.42500000000001	91.84
19026.0	89.58	88.49	84.17333333333335	89.195	95.5
19027.0	83.33	75.52333333333333	79.19000000000001	83.515	87.24000000000001
19028.0	82.29	69.32000000000001	57.95666666666667	66.43	76.305
19029.0	96.88	94.61666666666667	84.69333333333333	88.36	91.065
19030.0	95.83	90.14666666666665	86.50333333333333	88.87	92.065
19031.0	88.54	85.58333333333333	88.18333333333334	85.30000000000001	93.86500000000001
19032.0	85.42	79.8	72.01	76.73	78.61500000000001
19033.0	83.33	76.61999999999999	80.12333333333333	81.015	79.36
19034.0	94.79	90.66333333333334	86.18333333333334	88.47999999999999	93.035
19035.0	80.21	74.73333333333333	75.96333333333334	75.445	82.25
19036.0	88.54	78.84666666666665	72.88666666666666	78.72	85.33
19037.0	85.42	75.47666666666667	70.22	79.91	79.905
19038.0	90.63	74.28666666666668	68.61333333333333	76.60499999999999	74.205
19039.0	93.75	87.33	85.41000000000001	89.07499999999999	91.425
19040.0	90.63	92.08999999999999	92.72666666666667	88.305	95.08500000000001
19041.0	89.58	86.44333333333334	81.47000000000001	81.395	90.25999999999999
19042.0	90.63	83.48333333333333	81.34	83.63	89.485
19043.0	91.67	77.04	71.27666666666666	82.945	83.025
